,act,gpa,ap,ib,sat1,sat2,income,rank,gender,ethnicity,decision,state,country,urm,first_generation,editor-in-chief,founder,president,captain,siemens,intel,presidential_scholar,national_merit,ap_scholar,aime,imo,national_achievement
3580,0,0.0,0,0,2010,"[740, 730]",N/A,0.193277310924,M,caucasian,R,nj,US,,,,,,,,,,,,,,
3581,31,3.57,"[5, 4, 4, 4, 3, 3]",0,0,0,N/A,0.13,F,caucasian,R,fl,US,,,,,True,True,,,,,True,,,
3582,31,3.81,0,0,2150,"[690, 690]",N/A,0.0481481481481,,,A,,,,,,,,,,,,,,,,
3583,32,8.2,[4],0,2070,"[770, 760]",N/A,0.0,M,caucasian,A,ga,US,True,,,,,,,,,,,,,
3584,0,3.965,[4],[6],2120,"[700, 730]",middle,0.0242718446602,M,caucasian,A,ny,US,,,,,,,,,,,,,,
3585,0,3.98,0,0,2240,"[800, 780]",upper-middle,0.0242424242424,F,caucasian,A,pa,US,,,,,,,,,,,,,,
3586,0,4.0,"[5, 4]",0,2130,"[790, 700, 620]",N/A,0.0,M,caucasian,A,az,US,,,,,,,,,,,,,,
3587,0,3.99,0,0,2340,"[800, 800]",lower-middle,0.0,M,asian,R,,,,,,,,,,,,,,,,
3588,34,3.98,"[5, 4, 4, 4]",0,0,[],middle,0.0,M,caucasian,R,nj,US,,True,,,,,,,,,,,,
3589,31,3.77,0,"[7, 10]",2180,[730],middle,0.0,M,caucasian,A,nj,US,True,,,,True,,,,,,,,,
3590,0,3.9,0,0,1760,0,N/A,0.02,M,indian,A,,,,,,,,,,,,,,,,
3591,33,3.7615,"[4, 5, 5, 5]",0,2230,"[750, 710, 690]",middle,0.0,M,caucasian,R,ny,US,,,,True,,,,,,,,,,
3592,0,3.61,"[5, 4, 3]",0,2120,0,lower-middle,0.0932038834951,M,hispanic,A,tx,US,True,,,,,,,,,,,,,
3593,33,4.0,"[4, 3, 4]",0,0,"[640, 660, 610]",lower-middle,0.0262295081967,F,hispanic,A,ny,US,True,,,,True,True,,True,,,True,,,
3594,0,4.0,"[5, 4]",0,2280,"[720, 800]",N/A,0.0,F,,A,,,True,,,,,,,,,True,,,,
3595,0,4.0,"[5, 4]",0,2390,"[800, 790]",upper-middle,0.0192,F,asian,A,tx,US,,,,,,,,,,,,,,
3596,0,3.98,"[5, 5, 5, 4, 4]",0,2170,"[750, 720, 720, 700]",middle,0.008,M,caucasian,R,pa,US,,,,,,True,,,,,,,,
3597,0,3.75,"[5, 4, 3]",0,2230,"[800, 750]",middle,0.1,M,caucasian,A,ma,US,,,,True,,True,,,,,,,,
3598,32,4.0,"[2, 4, 4]",0,2080,[],N/A,0.012,F,caucasian,D,fl,US,,,,,,True,,,,True,,,,
3599,0,4.0,"[4, 5, 5, 5]",0,2370,"[800, 800, 780, 770]",N/A,0.0,M,asian,D,ma,US,,,,,,,,,,True,True,True,,
3600,0,3.9,"[5, 5]",0,2300,"[800, 770, 710]",upper-middle,0.15,M,asian,A,nj,US,,,,,,,,,,,,,,
3601,0,3.7,"[4, 5, 5, 5, 5]",0,2320,"[800, 790, 780, 760]",middle,0.158333333333,M,indian,R,ny,US,,,,,,True,,,,True,True,,,
3602,0,0.0,[5],0,2270,"[800, 800, 790, 780]",N/A,0.1,M,asian,A,,,,,,,,,,,,,,,,
3603,32,4.0,"[5, 5, 4, 4]",0,0,[],middle,0.00405679513185,F,caucasian,D,il,US,,,,,True,,,,,True,True,,,
3604,0,0.0,"[5, 5, 5]",0,2320,"[770, 780]",N/A,0.1,M,asian,A,ma,US,,,,,,,,,,True,,,,
3605,0,3.61,"[3, 4, 5]",0,2250,[800],middle,0.0,F,asian,,va,US,,,,,,,,,,,,,,
3606,31,4.0,0,0,0,"[750, 740]",N/A,0.0,F,asian,A,,US,,,,,,,,,,,,,,
3607,35,4.0,"[4, 5]",0,2090,"[800, 790, 620]",N/A,0.0112107623318,F,caucasian,D,ne,US,,,,,,,,,,,True,,,
3608,32,4.0,"[5, 4]",0,2250,"[770, 780]",middle,0.5,M,hispanic,A,tx,US,True,,,,,,,,,,,,,
3609,0,4.0,0,"[7, 7]",2100,"[800, 730]",N/A,0.0133333333333,M,indian,R,va,US,,,,,,,,,,True,,,,
3610,0,3.98,"[4, 5, 5, 4, 4, 4, 4, 5]",0,2260,"[740, 760]",middle,0.0180360721443,F,asian,A,mn,US,,,,,,,,,,,,,,
3611,32,0.0,"[4, 5]",0,0,[],upper-middle,0.0,F,asian,A,ct,US,,,,,,,,,,,True,,,
3612,33,3.8,"[5, 5, 5, 5]",0,2140,"[750, 720, 650]",upper-middle,0.1,F,caucasian,A,pa,US,,,,,,,,,,,,,,
3613,32,3.97,"[4, 5]",0,2190,"[620, 750]",lower-middle,0.0179640718563,F,caucasian,A,fl,US,True,,,,,True,,,,True,,,,
3614,33,3.91,"[5, 4]",0,0,"[680, 750]",N/A,0.0,F,caucasian,A,nv,US,,,,,,,,,,,,,,
3615,0,0.0,0,[5],2050,"[690, 680, 680]",N/A,0.0,F,,R,,international,,,,,,,,,,,,,,
3616,32,3.91,"[5, 4, 3, 3]",0,0,"[800, 700]",lower-middle,0.0680272108844,M,asian,A,al,US,,True,,,True,,,,,,,,,
3617,0,4.0,"[4, 5, 5]",0,2320,"[800, 800]",upper,0.0,M,caucasian,A,nj,US,,,,,,,,,,,,,,
3618,0,3.29,[3],0,2000,"[720, 700, 800]",N/A,0.0,M,asian,D,ny,US,,,,,,,,,,,,,,
3619,33,4.0,0,0,2310,"[800, 780]",upper-middle,0.0,M,caucasian,A,ga,US,,,,,True,True,,,,,,,,
3620,28,0.0,[4],0,0,[],N/A,0.206896551724,F,caucasian,R,ny,US,,,,,,,,,,,,,,
3621,0,3.88,"[4, 3]",0,2060,"[740, 560]",middle,0.1,M,caucasian,D,ny,US,,True,,,,,,,,,,,,
3622,0,3.7,"[5, 5]",0,2210,"[680, 620]",upper-middle,0.0,M,caucasian,A,ct,US,,,,,,,,,,,,,,
3623,0,4.0,"[5, 5, 5, 5, 5, 5, 4, 4]",0,2280,"[800, 800]",middle,0.0016,M,asian,A,co,US,,,,,,,,,,True,True,,,
3624,0,4.0,"[5, 5, 5, 5, 4, 4]",0,2200,"[740, 730, 800]",upper-middle,0.0,F,asian,A,wv,US,,,,True,True,True,,,,True,True,,,
3625,34,3.45,"[4, 4, 3, 3, 10, 3]",0,0,"[750, 710, 710]",lower,0.0,M,caucasian,R,az,US,,,,,True,True,,,,,,,,
